"timecreated","eqmt","liters","liters_prev"
2021-03-20 16:00:00.000 +0500,"25",1871.000,1870.600
2021-03-20 16:05:00.000 +0500,"25",1870.900,1871.000
2021-03-20 16:10:00.000 +0500,"25",1869.500,1870.900
2021-03-20 16:15:00.000 +0500,"25",1870.000,1869.500
2021-03-20 16:20:00.000 +0500,"25",1868.100,1870.000
2021-03-20 16:25:00.000 +0500,"25",1868.500,1868.100
2021-03-20 16:30:00.000 +0500,"25",1868.600,1868.500
2021-03-20 16:35:00.000 +0500,"25",1868.000,1868.600
2021-03-20 16:40:00.000 +0500,"25",1866.300,1868.000
2021-03-20 16:45:00.000 +0500,"25",1866.800,1866.300
2021-03-20 16:50:00.000 +0500,"25",1865.600,1866.800
2021-03-20 16:55:00.000 +0500,"25",1864.300,1865.600
2021-03-20 17:00:00.000 +0500,"25",1864.000,1864.300
2021-03-20 17:05:00.000 +0500,"25",1863.200,1864.000
2021-03-20 17:10:00.000 +0500,"25",1862.800,1863.200
2021-03-20 17:15:00.000 +0500,"25",1862.400,1862.800
2021-03-20 17:20:00.000 +0500,"25",1862.000,1862.400
2021-03-20 17:25:00.000 +0500,"25",1861.933,1862.000
2021-03-20 17:30:00.000 +0500,"25",1861.300,1861.933
2021-03-20 17:35:00.000 +0500,"25",1857.200,1861.300
2021-03-20 17:40:00.000 +0500,"25",1849.100,1857.200
2021-03-20 17:45:00.000 +0500,"25",1847.400,1849.100
2021-03-20 17:50:00.000 +0500,"25",1846.900,1847.400
2021-03-20 17:55:00.000 +0500,"25",1845.600,1846.900
2021-03-20 18:00:00.000 +0500,"25",1839.500,1845.600
2021-03-20 18:05:00.000 +0500,"25",1833.100,1839.500
2021-03-20 18:10:00.000 +0500,"25",1831.900,1833.100
2021-03-20 18:15:00.000 +0500,"25",1831.000,1831.900
2021-03-20 18:20:00.000 +0500,"25",1831.000,1831.000
2021-03-20 18:25:00.000 +0500,"25",1829.400,1831.000
2021-03-20 18:30:00.000 +0500,"25",1821.800,1829.400
2021-03-20 18:35:00.000 +0500,"25",1817.000,1821.800
2021-03-20 18:40:00.000 +0500,"25",1816.200,1817.000
2021-03-20 18:45:00.000 +0500,"25",1815.400,1816.200
2021-03-20 18:50:00.000 +0500,"25",1813.200,1815.400
2021-03-20 18:55:00.000 +0500,"25",1804.500,1813.200
2021-03-20 19:00:00.000 +0500,"25",1800.600,1804.500
2021-03-20 19:05:00.000 +0500,"25",1800.000,1800.600
2021-03-20 19:10:00.000 +0500,"25",1799.300,1800.000
2021-03-20 19:15:00.000 +0500,"25",1799.000,1799.300
2021-03-20 19:20:00.000 +0500,"25",1798.200,1799.000
2021-03-20 19:25:00.000 +0500,"25",1798.333,1798.200
2021-03-20 19:30:00.000 +0500,"25",1798.000,1798.333
2021-03-20 19:35:00.000 +0500,"25",1790.800,1798.000
2021-03-20 19:40:00.000 +0500,"25",1780.364,1790.800
2021-03-20 19:45:00.000 +0500,"25",1774.100,1780.364
2021-03-20 19:50:00.000 +0500,"25",1769.300,1774.100
2021-03-20 19:55:00.000 +0500,"25",1768.400,1769.300
2021-03-20 20:00:00.000 +0500,"25",1768.700,1768.400
2021-03-20 20:05:00.000 +0500,"25",1769.700,1768.700
2021-03-20 20:10:00.000 +0500,"25",1759.400,1769.700
2021-03-20 20:15:00.000 +0500,"25",1733.200,1759.400
2021-03-20 20:20:00.000 +0500,"25",1722.900,1733.200
2021-03-20 20:25:00.000 +0500,"25",1717.500,1722.900
2021-03-20 20:30:00.000 +0500,"25",1721.200,1717.500
2021-03-20 20:35:00.000 +0500,"25",1722.300,1721.200
2021-03-20 20:40:00.000 +0500,"25",1712.800,1722.300
2021-03-20 20:45:00.000 +0500,"25",1686.000,1712.800
